"fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc","prepaid","default"
753,201703,"9",203202,"34940",0,1,"S",70,48,149000,70,3.125,"R","N","FRM","FL","CO","34100","F117Q1009957","P",180,1,"Other sellers","Other servicers","",1,0
706,201703,"9",203702,"45104",0,1,"P",80,26,204000,80,3.75,"C","N","FRM","WA","PU","98300","F117Q1010027","C",240,2,"USBANKNA","USBANKNA","",1,0
791,201704,"9",204703,"31084",0,1,"P",59,24,370000,59,4.125,"R","N","FRM","CA","SF","91700","F117Q1010102","C",360,2,"Other sellers","Other servicers","",1,0
705,201703,"9",204702,"24540",0,1,"I",68,43,235000,68,4.75,"R","N","FRM","CO","PU","80600","F117Q1010538","N",360,2,"Other sellers","Other servicers","",1,0
687,201703,"9",204702,"33700",0,1,"I",63,31,311000,63,4.75,"B","N","FRM","CA","SF","95300","F117Q1010941","C",360,1,"STEARNSLENDING,LLC","LAKEVIEWLOANSERVICIN","",1,0
755,201703,"9",204702,"41620",0,1,"P",69,37,360000,69,4.375,"B","N","FRM","UT","SF","84000","F117Q1011285","C",360,2,"Other sellers","Other servicers","",1,0
801,201703,"9",204702,"47664",0,1,"P",63,46,130000,63,4.375,"R","N","FRM","MI","SF","48200","F117Q1011569","C",360,2,"Other sellers","PINGORALOANSERVICING","",1,0
770,201703,"9",204702,"12060",0,1,"P",15,36,80000,15,4.75,"R","N","FRM","GA","PU","30100","F117Q1011768","C",360,1,"LOANDEPOTCOM,LLC","Other servicers","",1,0
772,201703,"9",204702,"23104",0,1,"P",60,45,150000,60,4.25,"R","N","FRM","TX","SF","76000","F117Q1012228","C",360,1,"LOANDEPOTCOM,LLC","MATRIXFINANCIALSERVI","",1,0
767,201702,"N",204701,"16974",0,1,"P",70,50,156000,70,3.875,"R","N","FRM","IL","PU","60400","F117Q1012275","P",360,2,"GUARANTEEDRATE,INC","Other servicers","",1,0
762,201703,"9",204702,"32820",0,1,"I",75,42,62000,75,4.375,"R","N","FRM","TN","SF","38100","F117Q1012343","C",360,1,"GUARANTEEDRATE,INC","Other servicers","",0,1
651,201703,"9",204702,"42220",0,1,"I",51,32,365000,51,4.875,"B","N","FRM","CA","SF","95400","F117Q1012467","N",360,2,"STEARNSLENDING,LLC","Other servicers","",1,0
785,201703,"9",204702,"31084",0,1,"P",80,21,368000,80,4.75,"R","N","FRM","CA","CO","91300","F117Q1012570","C",360,1,"Other sellers","ARVESTCENTRALMTGECO","",1,0
809,201704,"N",204703,"",0,1,"P",80,23,224000,80,4.25,"R","N","FRM","CO","PU","81100","F117Q1012727","P",360,1,"Other sellers","Other servicers","",0,1
713,201703,"N",204702,"36740",0,1,"P",80,39,218000,80,3.875,"R","N","FRM","FL","PU","34700","F117Q1012816","P",360,2,"Other sellers","Other servicers","",1,0
777,201703,"N",204702,"36084",30,1,"P",95,45,478000,95,4.5,"B","N","FRM","CA","SF","94500","F117Q1012958","P",360,2,"Other sellers","LAKEVIEWLOANSERVICIN","Y",1,0
742,201703,"9",204702,"33460",0,4,"I",75,42,299000,75,4.875,"R","N","FRM","MN","SF","55400","F117Q1013196","P",360,1,"Other sellers","ROUNDPOINTMTGESERVIC","",1,0
732,201703,"N",204702,"38060",25,1,"P",88,18,424000,88,4.25,"C","N","FRM","AZ","PU","85200","F117Q1013234","P",360,1,"AMERIHOMEMTGECOMPANY","NEWRESIDENTIALMTGELL","",1,0
753,201703,"9",203702,"31540",0,1,"P",80,49,317000,80,3.875,"R","N","FRM","WI","SF","53500","F117Q1013336","C",240,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
782,201703,"N",204702,"11244",12,1,"P",85,40,595000,85,4.375,"B","N","FRM","CA","CO","92600","F117Q1013344","P",360,2,"Other sellers","PINGORALOANSERVICING","Y",1,0
692,201703,"9",203202,"",0,1,"P",64,30,134000,64,3.5,"R","N","FRM","WV","SF","26300","F117Q1013404","N",180,1,"LOANDEPOTCOM,LLC","Other servicers","",1,0
752,201703,"9",203202,"22744",0,1,"P",40,42,183000,40,3.375,"R","N","FRM","FL","PU","33300","F117Q1013588","N",180,2,"GUARANTEEDRATE,INC","Other servicers","",1,0
693,201703,"9",204702,"45300",0,1,"S",74,36,220000,74,3.75,"R","N","FRM","FL","SF","33700","F117Q1013671","P",360,2,"GUARANTEEDRATE,INC","Other servicers","",1,0
794,201703,"N",204702,"15764",0,1,"P",71,29,200000,71,4.125,"R","N","FRM","MA","SF","02400","F117Q1013736","P",360,1,"GUARANTEEDRATE,INC","Other servicers","",1,0
744,201703,"Y",204702,"41884",0,1,"P",62,47,309000,62,4.25,"R","N","FRM","CA","CO","94400","F117Q1013762","P",360,1,"GUARANTEEDRATE,INC","Other servicers","",1,0
709,201703,"N",204702,"14454",0,1,"P",90,40,417000,68,4.125,"R","N","FRM","MA","CO","02100","F117Q1013773","P",360,1,"GUARANTEEDRATE,INC","Other servicers","",1,0
762,201703,"9",204702,"41740",0,1,"P",80,49,198000,80,4.75,"B","N","FRM","CA","PU","91900","F117Q1013860","N",360,1,"UNITEDSHOREFINANCIAL","Other servicers","",1,0
790,201703,"9",204702,"12580",0,1,"I",70,35,195000,70,4.625,"R","N","FRM","MD","SF","21200","F117Q1013963","C",360,1,"GUARANTEEDRATE,INC","NEWRESIDENTIALMTGELL","",1,0
791,201703,"N",204702,"38060",0,1,"P",80,40,288000,80,4.5,"R","N","FRM","AZ","PU","85200","F117Q1014008","P",360,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
673,201703,"9",203202,"19124",0,1,"P",73,41,185000,73,3.875,"R","N","FRM","TX","SF","75000","F117Q1014009","C",180,1,"LOANDEPOTCOM,LLC","Other servicers","",1,0
722,201703,"9",203202,"38060",0,1,"P",71,45,318000,71,3,"R","N","FRM","AZ","PU","85300","F117Q1014055","C",180,1,"Other sellers","PINGORALOANSERVICING","",1,0
814,201703,"9",204702,"16974",0,1,"P",66,49,124000,66,4.75,"C","N","FRM","IL","SF","60500","F117Q1014232","C",360,1,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
763,201703,"9",204702,"42644",0,1,"P",52,37,324000,52,4.25,"R","N","FRM","WA","SF","98200","F117Q1014420","C",360,2,"QUICKENLOANINC","QUICKENLOANINC","",1,0
680,201703,"9",204702,"38900",0,1,"P",80,34,216000,80,4.25,"R","N","FRM","OR","SF","97200","F117Q1014445","C",360,2,"QUICKENLOANINC","QUICKENLOANINC","",1,0
733,201703,"9",204702,"",12,1,"P",83,41,288000,83,3.99,"R","N","FRM","GA","SF","31700","F117Q1014572","N",360,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
808,201703,"9",204702,"16700",0,1,"P",80,49,188000,80,4.75,"R","N","FRM","SC","SF","29400","F117Q1014713","C",360,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
766,201703,"9",204702,"12940",0,1,"P",76,41,195000,76,4.75,"R","N","FRM","LA","PU","70800","F117Q1014760","C",360,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
691,201703,"9",204702,"42644",0,1,"P",80,34,236000,80,4.75,"R","N","FRM","WA","SF","98000","F117Q1014805","C",360,1,"QUICKENLOANINC","QUICKENLOANINC","",1,0
744,201703,"9",204702,"",0,1,"P",71,30,162000,71,4.25,"R","N","FRM","KY","SF","40400","F117Q1014879","N",360,2,"Other sellers","Other servicers","",1,0
778,201704,"N",203203,"41180",0,1,"P",80,34,384000,80,3.375,"R","N","FRM","IL","SF","62000","F117Q1014883","P",180,2,"Other sellers","ARVESTCENTRALMTGECO","",1,0
814,201703,"9",204702,"26420",0,1,"P",75,33,146000,75,4.375,"R","N","FRM","TX","PU","77000","F117Q1015057","C",360,2,"Other sellers","Other servicers","",1,0
764,201703,"N",204702,"24540",0,1,"P",80,27,112000,80,4.375,"R","N","FRM","CO","SF","80600","F117Q1015161","P",360,1,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","",1,0
749,201703,"N",204702,"31140",0,1,"P",80,38,214000,80,4.25,"R","N","FRM","KY","PU","40200","F117Q1015349","P",360,2,"Other sellers","Other servicers","",1,0
706,201703,"Y",204702,"15764",30,1,"P",95,34,405000,95,4.125,"R","N","FRM","MA","SF","01800","F117Q1015637","P",360,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
712,201703,"9",204702,"33460",0,1,"P",80,44,211000,80,5,"R","N","FRM","MN","SF","55000","F117Q1015676","C",360,1,"LOANDEPOTCOM,LLC","Other servicers","",1,0
778,201703,"9",204702,"42644",12,1,"P",82,44,420000,82,4.25,"B","N","FRM","WA","SF","98100","F117Q1015831","N",360,1,"UNITEDSHOREFINANCIAL","NATIONSTARMTGELLCDBA","",1,0
785,201703,"9",204702,"41180",0,1,"P",56,27,80000,56,4.5,"R","N","FRM","IL","SF","62000","F117Q1015971","N",360,1,"Other sellers","Other servicers","",1,0
779,201703,"9",203202,"39580",0,1,"P",59,24,368000,59,3.25,"C","N","FRM","NC","SF","27600","F117Q1016182","N",180,2,"BRANCHBANKING&TRUSTC","Other servicers","",1,0
743,201703,"9",204702,"38900",0,1,"P",68,39,204000,68,4.375,"B","N","FRM","OR","PU","97000","F117Q1016186","C",360,1,"Other sellers","Other servicers","",1,0
775,201703,"N",204702,"28140",0,1,"P",80,33,96000,80,4.25,"R","N","FRM","MO","PU","64100","F117Q1016326","P",360,1,"Other sellers","ROUNDPOINTMTGESERVIC","",1,0
695,201703,"Y",204702,"42644",30,1,"P",95,31,452000,95,4.5,"R","N","FRM","WA","SF","98100","F117Q1016370","P",360,2,"Other sellers","Other servicers","Y",1,0
